nom,dosage,substance,presentation,forme,statut
18-FDG RIM,250 MBQ / ML,FLUDESOXYGLUCOSE (18F),FLACON MONO DOSE DE 15 ML,SOLUTION INJECTABLE,Commercialisé
18F PSMA RIM,250 MBQ / ML,[18F] PSMA-1007,BOITE D'UN FLACON MONODOSE DE 15 ML,SOLUTION INJECTABLE,AMM Sans Prix
18F PSMA RIM,250 MBQ / ML,[18F] PSMA-1007,BOITE D'UN FLACON MULTIDOSE DE 15 ML,SOLUTION INJECTABLE,AMM Sans Prix
18F-PSMA CYCLOPHARMA,1300 MBQ / ML,[18F] PSMA-1007,"FLACON MULTIDOSE EN VERRE DE 15 ML , CONTIENT UN VOLUME COMPRIS ENTRE 0.5 ET 10 ML DE SOLUTION","SOLUTION INJECTABLE, FLACON MULTIDOSE DE 10 ML DE SOLUTION MAXIMUM.",AMM Sans Prix
A.V.T.,"0,5 G / 0,002 G / 0,02 G",ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),BOITE DE 10,COMPRIME EFFERVESCENT,Commercialisé AO
A.V.T.,"0,5 G / 0,002 G / 0,02 G",ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),BOITE DE 20,COMPRIME EFFERVESCENT,Commercialisé
ABACT,1000 MG,AMPICILLINE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMM Sans Prix
ABACT,250 MG,AMPICILLINE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMM Sans Prix
ABACT,500 MG,AMPICILLINE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMM Sans Prix
ABBOTICINE,200 MG,ERYTHROMYCINE (ETHYLSUCCINATE),BOITE DE 1 FLACON DE 60 ML,GRANULE POUR SUSPENSION BUVABLE,Non Commercialisé
ABILIFY,10 MG,ARIPIPRAZOLE,BOITE DE 28,COMPRIME,Non Commercialisé
ABILIFY,15 MG,ARIPIPRAZOLE,BOITE DE 28,COMPRIME,Non Commercialisé
ABIP,15 MG,ARIPIPRAZOLE,BOITE DE 20 COMPRIMES PELLICULES,COMPRIMES PELLICULES,Non Commercialisé
ABIP,15 MG,ARIPIPRAZOLE,BOITE DE 30 COMPRIMES PELLICULES,COMPRIMES PELLICULES,Commercialisé
ABIRANAT,250 MG,ABIRATERONE (ACETATE),BOITE D’UN FLACON DE 120 COMPRIMES.,COMPRIME,Commercialisé
ABIRATERONE GT,250 MG,ABIRATERONE (ACETATE),BOITE DE 1 FLACON DE 120,COMPRIME,Commercialisé
ABSTRAL,100 µG,FENTANYL,BOITE DE 10,COMPRIME SUBLINGUAL,Commercialisé
ABSTRAL,200 µG,FENTANYL,BOITE DE 10,COMPRIME SUBLINGUAL,Commercialisé
ABSTRAL,400 µG,FENTANYL,BOITE DE 10,COMPRIME SUBLINGUAL,Non Commercialisé
ACARBOSE LAPROPHAN,100 MG,ACARBOSE,BOITE DE 30,COMPRIME,Non Commercialisé
ACARBOSE LAPROPHAN,50 MG,ACARBOSE,BOITE DE 30,COMPRIME,Non Commercialisé
ACARBOSE LAPROPHAN,100 MG,ACARBOSE,BOITE DE 90,COMPRIME,Non Commercialisé
ACARBOSE LAPROPHAN,50 MG,ACARBOSE,BOITE DE 90,COMPRIME,Non Commercialisé
ACARD,50 MG,LOSARTAN (POTASSIQUE),BOITE DE 14,COMPRIME PELLICULE,Non Commercialisé
ACARD,50 MG,LOSARTAN (POTASSIQUE),BOITE DE 28,COMPRIME PELLICULE,Non Commercialisé
ACCUPRIL,20 MG,QUINAPRIL,BOITE DE 28,COMPRIME,Retiré du Marché
ACCUPRIL,5 MG,QUINAPRIL,BOITE DE 28,COMPRIME,Retiré du Marché
ACCURECIL,250 MG,FLUOROURACILE,BOITE D'UN FLACON DE 5 ML,SOLUTION POUR INJECTION / PERFUSION IV,Commercialisé
ACCURECIL,500 MG,FLUOROURACILE,BOITE D'UN FLACON DE 10 ML,SOLUTION POUR INJECTION / PERFUSION IV,Commercialisé
ACEPRIL,2 MG,PERINDOPRIL (TERT-BUTYLAMINE),BOITE DE 28,COMPRIME,Non Commercialisé
ACEPRIL,4 MG,PERINDOPRIL (TERT-BUTYLAMINE),BOITE DE 28,COMPRIME,Non Commercialisé
ACEPRIL,8 MG,PERINDOPRIL (TERT-BUTYLAMINE),BOITE DE 28,COMPRIME,Non Commercialisé
ACEPRIL PLUS,"4 MG / 1,25 MG",PERINDOPRIL (TERT-BUTYLAMINE) // INDAPAMIDE,BOITE DE 28,COMPRIME,Non Commercialisé
ACETATE,-,CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // ACETATE DE SODIUM 3H2O,BIDON DE 10 L,CONCENTRE LIQUIDE D'HEMODIALYSE,Non Commercialisé
ACETHIO,500 MG / 2 MG,PARACETAMOL // THIOCOLCHICOSIDE,BOITE DE 20,COMPRIME,Commercialisé
ACFOL,5 MG,VITAMINE B9 (ACIDE FOLIQUE),BOITE DE 28,COMPRIME,Commercialisé
ACICLOVIR ARWA MEDIC,250 MG,ACICLOVIR,BOITE DE 5 FLACONS DE 10 ML.,"POUDRE POUR SOLUTION POUR PERFUSION IV, EN FLACON DE 10ML",Non Commercialisé
ACICLOVIR ISIO,250 MG,ACICLOVIR,BOITES DE 1 FLACON,POUDRE POUR SOLUTION INJECTABLE,Commercialisé
ACICLOVIR ISIO,250 MG,ACICLOVIR,BOITES DE 5 FLACONS,POUDRE POUR SOLUTION INJECTABLE,Commercialisé
ACICLOVIR ISIO,250 MG,ACICLOVIR,BOITES DE 10 FLACONS,POUDRE POUR SOLUTION INJECTABLE,Commercialisé
ACICLOVIR ISIO,500 MG,ACICLOVIR,BOITES DE 1 FLACON,POUDRE POUR SOLUTION INJECTABLE,Non Commercialisé
ACICLOVIR ISIO,500 MG,ACICLOVIR,BOITES DE 5 FLACONS,POUDRE POUR SOLUTION INJECTABLE,Commercialisé AO
ACICLOVIR ISIO,500 MG,ACICLOVIR,BOITES DE 10 FLACONS,POUDRE POUR SOLUTION INJECTABLE,Non Commercialisé
ACICLOVIR VIATRIS,250 MG,ACICLOVIR,BOITE DE 5 FLACONS DE 10 ML,POUDRE POUR SOLUTION INJECTABLE (IV),Commercialisé
ACICLOVIR VIATRIS,500 MG,ACICLOVIR,BOITE DE 5 FLACONS DE 20 ML,POUDRE POUR SOLUTION INJECTABLE (IV),Commercialisé AO
ACIDAC,150 MG,RANITIDINE,BOITE DE 30,COMPRIME,Non Commercialisé
ACIDAC,150 MG,RANITIDINE,BOITE DE 60,COMPRIME,Commercialisé AO
ACIDAC,300 MG,RANITIDINE,BOITE DE 14,COMPRIME,Non Commercialisé
ACIDAC,300 MG,RANITIDINE,BOITE DE 30,COMPRIME,Non Commercialisé
ACIDE ALENDRONIQUE GT,70 MG,ACIDE ALENDRONIQUE,BOITE DE 4,COMPRIME PELLICULE,Commercialisé
ACIDE ALENDRONIQUE NORMON,70 MG,ACIDE ALENDRONIQUE,BOITE DE 4,COMPRIME,Non Commercialisé
ACIDE EM,-,CONCENTRE HEMODIALYSE (CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE GLACIAL),BIDON DE 10 L,SOLUTE CONCENTRE POUR HEMODIALYSE,Non Commercialisé
ACIDE EM,-,CONCENTRE HEMODIALYSE (CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE GLACIAL°,BIDON DE 5 L,SOLUTE CONCENTRE POUR HEMODIALYSE,Commercialisé
ACIDE SANS ACETATE,-,CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE CHLORHYDRIQUE,POCHE DE 5 LITRES,SOLUTION CONCENTREE ACIDE,AMM Sans Prix
ACIDE SANS ACETATE,-,CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE CHLORHYDRIQUE,POCHE DE 5 LITRES,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE,AMM Sans Prix
ACIDE TIAPROFENIQUE,100 MG,ACIDE TIAPROFENIQUE,BOITE DE 10,COMPRIME SECABLE,Retiré du Marché
ACIDE TIAPROFENIQUE,100 MG,ACIDE TIAPROFENIQUE,BOITE DE 20,COMPRIME SECABLE,Retiré du Marché
ACIDE TIAPROFENIQUE,100 MG,ACIDE TIAPROFENIQUE,BOITE DE 30,COMPRIME SECABLE,Retiré du Marché
ACIDE ZOLEDRONIQUE COOPER,4 MG / 5 ML,ACIDE ZOLEDRONIQUE,BOITE DE 1 FLACON DE 10 ML,SOLUTION POUR PERFUSION (IV),Non Commercialisé
ACIDE ZOLEDRONIQUE MYLAN,4 MG / 5 ML,ACIDE ZOLEDRONIQUE,BOITE D'UN FLACON DE 5 ML,SOLUTION A DILUER POUR PERFUSION,Commercialisé
ACIDE ZOLEDRONIQUE PROMOPHARM,4 MG / 5 ML,ACIDE ZOLEDRONIQUE,BOITE D'UN FLACON DE 5 ML,SOLUTION A DILUER POUR PERFUSION,Commercialisé AO
ACIDE ZOLEDRONIQUE SP,4 MG / 5 ML,ACIDE ZOLEDRONIQUE,BOITE DE 1 FLACON DE 5 ML,SOLUTION A DILUER POUR PERFUSION,Commercialisé
ACIGAM,100 MG,ACIDE TIAPROFENIQUE,BOITE DE 30,COMPRIME SECABLE,Commercialisé
ACIGAM,200 MG,ACIDE TIAPROFENIQUE,BOITE DE 20,COMPRIME SECABLE,Commercialisé
ACITRETINE IFC,10 MG,ACITRETINE,BOITE DE 10,GELULES,Non Commercialisé
ACITRETINE IFC,10 MG,ACITRETINE,BOITE DE 30,GELULES,Non Commercialisé
ACITRETINE IFC,25 MG,ACITRETINE,BOITE DE 10,GELULES,Non Commercialisé
ACITRETINE IFC,25 MG,ACITRETINE,BOITE DE 30,GELULES,Non Commercialisé
ACIVIR COOPER,400 MG,ACICLOVIR,BOITE DE 25,COMPRIME,Non Commercialisé
ACIVIR COOPER,800 MG,ACICLOVIR,BOITE DE 12,COMPRIME,Non Commercialisé
ACIVIR COOPER,800 MG,ACICLOVIR,BOITE DE 25,COMPRIME,Non Commercialisé
ACIVIR COOPER,200 MG,ACICLOVIR,BOITE DE 25,COMPRIME,Non Commercialisé
ACLASTA,5 MG / 100 ML,ACIDE ZOLEDRONIQUE,FLACON DE 100 ML,SOLUTION POUR PERFUSION,Commercialisé
ACLAV,1 G / 100 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 1 FLACON,POUDRE POUR PREPARATION INJECTABLE,Commercialisé AO / Export
ACLAV,1 G / 125 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 12,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,1 G / 125 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 14,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,1 G / 125 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 16,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,1 G / 125 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 24,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,1 G / 200 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 1 FLACON,POUDRE POUR PREPARATION INJECTABLE,Commercialisé
ACLAV,"100 MG / 12,5 MG / ML",AMOXICILLINE // ACIDE CLAVULANIQUE,2 FLACONS DE 30 ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé AO / Export
ACLAV,"100 MG / 12,5 MG / ML",AMOXICILLINE // ACIDE CLAVULANIQUE,2 FLACONS DE 60 ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé AO / Export
ACLAV,"100 MG / 12,5 MG / ML",AMOXICILLINE // ACIDE CLAVULANIQUE,FLACON DE 30 ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,"100 MG / 12,5 MG / ML",AMOXICILLINE // ACIDE CLAVULANIQUE,FLACON DE 60 ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,2 G / 200 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 1 FLACON,POUDRE POUR PREPARATION INJECTABLE,Commercialisé
ACLAV,500 MG / 50 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 1 FLACON,POUDRE POUR PREPARATION INJECTABLE,Commercialisé
ACLAV,"500 MG / 62,5 MG",AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 12,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,"500 MG / 62,5 MG",AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 16,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,"500 MG / 62,5 MG",AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 24,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
ACLAV,250 MG / 5 ML,AMOXICILLINE // ACIDE CLAVULANIQUE,FLACON DE 60 ML,POUDRE POUR SUSPENSION BUVABLE,AMM Sans Prix
ACLAV,500 MG / 125 MG,AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 12,COMPRIME,AMM Sans Prix
ACLAV,"500 MG / 62,5 MG",AMOXICILLINE // ACIDE CLAVULANIQUE,BOITE DE 14,POUDRE POUR SUSPENSION BUVABLE,Commercialisé AO / Export
ACNO,10 MG,ISOTRETINOINE,BOITE DE 10,CAPSULE MOLLE,Retiré du Marché
ACNO,10 MG,ISOTRETINOINE,BOITE DE 20,CAPSULE MOLLE,Retiré du Marché
ACNO,10 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
ACNO,10 MG,ISOTRETINOINE,BOITE DE 60,CAPSULE MOLLE,Retiré du Marché
ACNO,20 MG,ISOTRETINOINE,BOITE DE 10,CAPSULE MOLLE,Retiré du Marché
ACNO,20 MG,ISOTRETINOINE,BOITE DE 20,CAPSULE MOLLE,Retiré du Marché
ACNO,20 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
ACNO,20 MG,ISOTRETINOINE,BOITE DE 60,CAPSULE MOLLE,Commercialisé
ACNO,30 MG,ISOTRETINOINE,BOITE DE 10,CAPSULE MOLLE,Retiré du Marché
ACNO,30 MG,ISOTRETINOINE,BOITE DE 20,CAPSULE MOLLE,Retiré du Marché
ACNO,30 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
ACNO,30 MG,ISOTRETINOINE,BOITE DE 60,CAPSULE MOLLE,Retiré du Marché
ACOL,1000 MG,METFORMINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
ACOL,1000 MG,METFORMINE,BOITE DE 60,COMPRIME PELLICULE,Commercialisé
ACOL,1000 MG,METFORMINE,Boîte de 90,COMPRIME PELLICULE,AMM Sans Prix
ACONCEPT,1.5 MG,LEVONORGESTREL,BOITE UNITAIRE,COMPRIME PELLICULE,Commercialisé
ACRIPTEGA,50 MG / 300 MG / 300 MG,DOLUTEGRAVIR SODIQUE // LAMIVUDINE // TENOFOVIR DISPROXIL FUMARATE,BOITE D'UN FLACON DE 30,COMPRIMES PELLICULES,AMM Sans Prix
ACT HIB,"10 µG / 0,5 ML",VACCIN HAEMOPHILUS TYPE B CONJUGUE 10µG,BOITE DE 1 SERINGUE,POUDRE POUR PREPARATION INJECTABLE,Commercialisé
ACTACEPT,10 MG,DONEPEZIL,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
ACTACEPT,5 MG,DONEPEZIL,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
ACTAPULGITE,3 G,ATTAPULGITE DE MORMOIRON ACTIVEE,BOITE DE 30,POUDRE POUR SUSPENSION BUVABLE,Non Commercialisé
ACTAPULGITE NOURRISSONS,1 G,ATTAPULGITE DE MORMOIRON ACTIVEE,BOITE DE 20,POUDRE POUR SUSPENSION BUVABLE,Non Commercialisé
ACTEMRA,200 MG / 10 ML,TOCILIZUMAB,BOITE DE 1 FLACON DE 20 ML,SOLUTION A DILUER POUR PERFUSION,Commercialisé
ACTEMRA,400 MG / 20 ML,TOCILIZUMAB,BOITE DE 1 FLACON DE 20 ML,SOLUTION A DILUER POUR PERFUSION,Commercialisé
ACTEMRA,80 MG / 4 ML,TOCILIZUMAB,BOITE DE 1 FLACON DE 10 ML,SOLUTION A DILUER POUR PERFUSION,Commercialisé
ACTEMRA,"162 MG / 0,9 ML",TOCILIZUMAB,BOITE DE 4 SERINGUES PRE REMPLIES,SOLUTION POUR INJECTION SOUS CUTANEE,Commercialisé
ACTI 5,-,DEANOL PIDOLATE // MAGNESIUM PARAAMINOBENZOATE // VITAMINE C (ACIDE ASCORBIQUE),BOITE DE 30 AMPOULES,SOLUTION BUVABLE,Retiré du Marché
ACTICARBINE,70 MG,CHARBON ACTIVE // PAPAVERINE (CHLORHYDRATE ),BOITE DE 42,COMPRIME DRAGEFIE,Non Commercialisé
ACTICARBINE,70 MG,CHARBON ACTIVE // PAPAVERINE (CHLORHYDRATE ),BOITE DE 84,COMPRIME DRAGEFIE,Commercialisé
ACTIFED,-,PSEUDOEPHEDRINE (CHLORHYDRATE) // TRIPROLIDINE (CHLORHYDRATE),FLACON DE 100 ML,SOLUTION BUVABLE,Retiré du Marché
ACTIFED,-,PSEUDOEPHEDRINE (CHLORHYDRATE) // TRIPROLIDINE (CHLORHYDRATE),BOITE DE 20,COMPRIME,Retiré du Marché
ACTIFED RHUME,"60 / 2,5 MG",PSEUDOEPHEDRINE (CHLORHYDRATE) // TRIPROLIDINE (CHLORHYDRATE),BOITE DE 20,COMPRIME,Retiré du Marché
ACTISOUFRE,4 MG,SULFURE DE SODIUM,BOITE DE 30 AMPOULES DE 10 ML,SOLUTION BUVABLE,Non Commercialisé
ACTIVAROL C 100,"0,003 MG / 0,1 MG / 0,250 MG / 0,050 MG",HEMATOPORPHYRINE //VITAMINE C (ACIDE ASCORBIQUE) // ACIDE AMINO ACETIQUE // EXTRAIT (AMINE DE LEVURE),BOITE DE 24 AMPOULES DE 5 ML,SOLUTION BUVABLE,Non Commercialisé
ACTIVAROL C 500,"0,006 MG / 0,5 MG / 0,5 MG / 0,1 MG",HEMATOPORPHYRINE //VITAMINE C (ACIDE ASCORBIQUE) // ACIDE AMINO ACETIQUE // EXTRAIT (AMINE DE LEVURE),BOITE DE 24 AMPOULES DE 10 ML,SOLUTION BUVABLE,Non Commercialisé
ACTONEL,5 MG,RISEDRONATE (MONOSODIQUE),BOITE DE 28,COMPRIME PELLICULE,Retiré du Marché
ACTONEL ONCE-A-WEEK,35 MG,RISEDRONATE (MONOSODIQUE),BOITE DE 4,COMPRIME,Retiré du Marché
ACTONEL PLUS CALCIUM D,35 MG + 1000 MG / 880 UI,RISEDRONATE (MONOSODIQUE) // CALCIUM (CARBONATE) // VITAMINE D3 (CHOLECALCIFEROL),BOITE DE 4,COMPRIME PELLICULE ET GRANULE EFFERVESCENT,Retiré du Marché
ACTRAPID HM,100 UI / ML,INSULINE HUMAINE BIOGENETIQUE (RAPIDE),BOITE DE 1 FLACON DE 10 ML,SOLUTION INJECTABLE,Commercialisé
ACTRAPID HM PENFILL,100 UI / ML,INSULINE HUMAINE BIOGENETIQUE (RAPIDE),BOITE DE 5 CARTOUCHES 3 ML,SOLUTION INJECTABLE,Non Commercialisé
ACUCARB,150 MG,CARBOPLATINE,FLACON DE 15 ML,SOLUTION POUR PERFUSION,Commercialisé
ACUCARB,450 MG,CARBOPLATINE,FLACON DE 45 ML,SOLUTION POUR PERFUSION,Commercialisé
ACUILIX,"12,5 / 20 MG",QUINAPRIL // HYDROCHLOROTHIAZIDE,BOITE DE 28,COMPRIME,Retiré du Marché
ACULAR,0.005,KETOROLAC TROMETHAMINE,FLACON DE 5 ML,COLLYRE,Non Commercialisé
ACUPAN,20 MG / 2 ML,NEFOPAM,BOITE DE 5 AMPOULE DE 2 ML,SOLUTION INJECTABLE,Commercialisé
ACUPAXIL-30,30 MG,PACLITAXEL,FLACON DE 5 ML,SOLUTION POUR PERFUSION,Commercialisé
ACUVAIL,0.0045,KETOROLAC TROMETHAMINE,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",COLLYRE EN SOLUTION,Non Commercialisé
ADACEL POLIO,-,VACCIN ( DIPHTERIE // TETANOS // COQUELUCHE ACELLULAIRE ),BOITE DE 1,SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,Commercialisé
ADALATE,10 MG,NIFEDIPINE,BOITE DE 100,CAPSULE MOLLE,Retiré du Marché
ADALATE,10 MG,NIFEDIPINE,BOITE DE 30,CAPSULE MOLLE,Retiré du Marché
ADALATE RETARD,20 MG,NIFEDIPINE,BOITE DE 20,COMPRIME PELLICULE,Retiré du Marché
ADALATE RETARD,20 MG,NIFEDIPINE,BOITE DE 50,COMPRIME PELLICULE,Retiré du Marché
ADANCOR,10 MG,NICORANDIL,BOITE DE 30,COMPRIME SECABLE,Non Commercialisé
ADANCOR,20 MG,NICORANDIL,BOITE DE 30,COMPRIME,Non Commercialisé
ADENOL LP,10 MG,ALFUZOSINE (CHLORHYDRATE),BOITE DE 10,COMPRIME A LIBERATION PROLONGEE,Non Commercialisé
ADENOL LP,10 MG,ALFUZOSINE (CHLORHYDRATE),BOITE DE 30,COMPRIME A LIBERATION PROLONGEE,Non Commercialisé
ADENOSINE SP,3 MG / ML,ADENOSINE,BOITE DE 10,SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE DE 2 ML,Non Commercialisé
ADENURIC,80 MG,FEBUXOSTAT,BOITE DE 28,COMPRIME PELLICULE,Non Commercialisé
ADENURIC,120 MG,FEBUXOSTAT,BOITE DE 28,COMPRIME PELLICULE,Non Commercialisé
ADEPAL,"0,15 MG / 0,03 MG ET 0,20 MG / 0,04 MG",LEVONORGESTREL // ETHINYLESTRADIOL,BOITE DE 21,COMPRIME ENROBE,Commercialisé
ADEPAL,"0,15 MG / 0,03 MG ET 0,20 MG / 0,04 MG",LEVONORGESTREL // ETHINYLESTRADIOL,BOITE DE 63,COMPRIME ENROBE,Non Commercialisé
ADEX,"2,5 MG",INDAPAMIDE,BOITE DE 30,COMPRIME,Commercialisé Export
ADEX LP,"1,5 MG",INDAPAMIDE,BOITE DE 30,COMPRIME,Commercialisé AO / Export
ADFENE,200 MG,IBUPROFENE,BOITE DE 20,COMPRIME PELLICULE,AMM Sans Prix
ADFENE,400 MG,IBUPROFENE,BOITE DE 30,COMPRIME PELLICULE,AMM Sans Prix
ADFENE,400 MG / 100 ML,IBUPROFENE,BOITE DE 5 POCHES DE 100 ML,SOLUTION POUR PERFUSION IV,AMM Sans Prix
ADFENE,400 MG / 100 ML,IBUPROFENE,BOITE DE 20 POCHES DE 100 ML,SOLUTION POUR PERFUSION IV,AMM Sans Prix
ADFENE,600 MG,IBUPROFENE,BOITES DE 30,COMPRIME PELLICULE,AMM Sans Prix
ADFENE 2%,100 MG / 5 ML,IBUPROFENE,FLACON DE 150 ML AVEC PIPETTE DOSEUSE,SUSPENSION BUVABLE,AMM Sans Prix
ADIZEM LP,120 MG,DILTIAZEM (CHLORHYDRATE),BOITE DE 30,GELULE,Non Commercialisé
ADIZEM LP,180 MG,DILTIAZEM (CHLORHYDRATE),BOITE DE 30,GELULE,Non Commercialisé
ADIZEM LP,240 MG,DILTIAZEM (CHLORHYDRATE),BOITE DE 30,GELULE,Non Commercialisé
ADIZEM LP,300 MG,DILTIAZEM (CHLORHYDRATE),BOITE DE 30,GELULE,Non Commercialisé
ADIZEM LP,90 MG,DILTIAZEM (CHLORHYDRATE),BOITE DE 30,GELULE,Non Commercialisé
ADMOXEL,"20 MG / 0,5 ML",DOCETAXEL (TRIHYDRATE),FLACON DE 5ML,SOLUTION A DILUER ET SOLVANT POUR PERFUSION,Commercialisé
ADMOXEL,80 MG / 2 ML,DOCETAXEL (TRIHYDRATE),FLACON DE 10ML,SOLUTION A DILUER ET SOLVANT POUR PERFUSION,Commercialisé
ADO,1000 MG,METFORMINE (CHLORHYDRATE),BOITE DE 30,COMPRIME PELLICULE,Commercialisé
ADO,1000 MG,METFORMINE (CHLORHYDRATE),BOITE DE 60,COMPRIME PELLICULE,Commercialisé
ADO,1000 MG,METFORMINE (CHLORHYDRATE),BOITE DE 90,COMPRIME PELLICULE,Commercialisé
ADO,500 MG,METFORMINE (CHLORHYDRATE),BOITE DE 50,COMPRIME PELLICULE,Commercialisé
ADO,850 MG,METFORMINE (CHLORHYDRATE),BOITE DE 30,COMPRIME PELLICULE,Commercialisé
ADO,850 MG,METFORMINE (CHLORHYDRATE),BOITE DE 60,COMPRIME PELLICULE,Commercialisé
ADOSINE DR,250 MG,DIDANOSINE,BOITE DE 30,GELULE A LIBERATION PROLONGEE,Non Commercialisé
ADOSINE DR,400 MG,DIDANOSINE,BOITE DE 30,GELULE A LIBERATION PROLONGEE,Non Commercialisé
ADRENALINE,"0,25 MG",ADRENALINE,BOITE DE 100 AMPOULE DE 1 ML,SOLUTION INJECTABLE,Commercialisé AO
ADRENALINE,"0,50 MG",ADRENALINE,BOITE DE 100 AMPOULE DE 1 ML,SOLUTION INJECTABLE,Non Commercialisé
ADRENALINE,1 MG,ADRENALINE,BOITE DE 100 AMPOULE DE 1 ML,SOLUTION INJECTABLE,Non Commercialisé
ADRENALINE AGUETTANT,"0,1 MG / ML",ADRENALINE,BOITE DE 10 SERINGUES DE 10 ML,SANS SULFITE SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,AMM Sans Prix
ADRENALINE SOTHEMA,1 MG / ML,ADRENALINE,BOITE DE 100 AMPOULE DE 1 ML,SOLUTION INJECTABLE,Commercialisé AO / Export
ADRENALINE SOTHEMA,"0,25 MG / ML",ADRENALINE (TARTRATE),BOITE DE 100 AMPOULES DE 1 ML,SOLUTION INJECTABLE,Non Commercialisé
ADRENALINE SOTHEMA,"0,50 MG / ML",ADRENALINE (TARTRATE),BOITE DE 100 AMPOULES DE 1 ML,SOLUTION INJECTABLE,Non Commercialisé
ADRIBLASTINE,10 MG,DOXORUBICINE (CHLORHYDRATE),BOITE DE 1 FLACON,LYOPHILISAT,Non Commercialisé
ADRIBLASTINE,50 MG,DOXORUBICINE (CHLORHYDRATE),BOITE DE 1 FLACON,LYOPHILISAT,Non Commercialisé
ADRONAT,70 MG,ACIDE ALENDRONIQUE,BOITE DE 4,COMPRIME,Commercialisé
ADVAGRAF,"0,5 MG",TACROLIMUS,BOITE DE 100,GELULE A LIBERATION PROLONGEE,Commercialisé AO
ADVAGRAF,1 MG,TACROLIMUS,BOITE DE 100,GELULE A LIBERATION PROLONGEE,Commercialisé AO
ADVAGRAF,3 MG,TACROLIMUS,BOITE DE 100,GELULE A LIBERATION PROLONGEE,Commercialisé AO
ADVAGRAF,5 MG,TACROLIMUS,BOITE DE 100,GELULE A LIBERATION PROLONGEE,Commercialisé AO
ADVAQUENIL,200 MG,HYDROXYCHLOROQUINE (SULFATE),BOITE DE 30,COMPRIME ENROBE,Commercialisé AO
