nom,dosage,substance,presentation,forme,statut
CONECTOR,20 MG,MEMANTINE,BOITE DE 112,COMPRIME ORODISPERSIBLE,Non Commercialisé
CONECTOR,20 MG,MEMANTINE,BOITE DE 56,COMPRIME ORODISPERSIBLE,Non Commercialisé
CONECTOR,5 MG,MEMANTINE,BOITE DE 112,COMPRIME ORODISPERSIBLE,Non Commercialisé
CONECTOR,5 MG,MEMANTINE,BOITE DE 56,COMPRIME ORODISPERSIBLE,Non Commercialisé
CONSENTYX UNOREADY,300 MG / 2 ML,SECUKINUMAB,BOITE D’UN STYLO PREREMPLI DE 2 ML,SOLUTION INJECTABLE EN STYLO PREREMPLI DE 2 ML,AMM Sans Prix
CONTALAX,5 MG,BISACODYL,BOITE DE 30,COMPRIME GASTRO-RESISTANT,Commercialisé
CONTIFLO OD,"0,4 MG",TAMSULOSINE,BOITE DE 10,GELULE A LIBERATION PROLONGEE,Commercialisé
CONTIFLO OD,"0,4 MG",TAMSULOSINE,BOITE DE 30,GELULE A LIBERATION PROLONGEE,Commercialisé
CONTIFLO OD,"0,4 MG",TAMSULOSINE,BOITE DE 60,GELULE A LIBERATION PROLONGEE,Commercialisé
CONTRACIDE,-,ALUMINIUM (HYDROXYDE) // MAGNESIUM (TRISILICATE) // DIMETHICONE,FLACON DE 250ML,SUSPENSION BUVABLE,Non Commercialisé
CONVERTAL,25 MG,CAPTOPRIL,BOITE DE 30,COMPRIME,Commercialisé
CONVERTAL,50 MG,CAPTOPRIL,BOITE DE 30,COMPRIME,Commercialisé
COPARANTAL,400 MG / 20 MG,PARACETAMOL // CODEINE,UN TUBE DE 16,COMPRIME EFFERVESCENT,Commercialisé
COPEGUS,200 MG,RIBAVIRINE,BOITE DE 168,COMPRIME PELLICULE,Retiré du Marché
COPEGUS,200 MG,RIBAVIRINE,BOITE DE 42,COMPRIME PELLICULE,Retiré du Marché
COPLAVIX,75 MG / 100 MG,CLOPIDOGREL // ACIDE ACETYLSALICYLIQUE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
COQUELUSEDAL PARACETAMOL,"0,1 G / 0,01 G / 0,005 G / 0,01 G",PARACETAMOL // GRINDELIA // GELSEMIUM // NIAOULI,BOITE DE 12,SUPPOSITOIRE,Commercialisé
COQUELUSEDAL PARACETAMOL ADULTES,"0,5 G / 0,04 G / 0,02 G / 0,04 G",PARACETAMOL // GRINDELIA // GELSEMIUM // NIAOULI,BOITE DE 12,SUPPOSITOIRE,Commercialisé
COQUELUSEDAL PARACETAMOL ENFANTS,"0,25 G / 0,02 G / 0,01 G / 0,02 G",PARACETAMOL // GRINDELIA // GELSEMIUM // NIAOULI,BOITE DE 12,SUPPOSITOIRE,Commercialisé
CORACTEN 20 MG,20 MG,NIFEDIPINE,BOITE DE 30,GELULE A LIBERATION PROLONGEE,Retiré du Marché
CORALAN,5 MG,IVABRADINE (CHLORHYDRATE),BOITE DE 28,COMPRIME PELLICULE,Commercialisé
CORALAN,5 MG,IVABRADINE (CHLORHYDRATE),BOITE DE 56,COMPRIME PELLICULE,Commercialisé
CORALAN,"7,5 MG",IVABRADINE (CHLORHYDRATE),BOITE DE 28,COMPRIME PELLICULE,Commercialisé
CORALAN,"7,5 MG",IVABRADINE (CHLORHYDRATE),BOITE DE 56,COMPRIME PELLICULE,Commercialisé
CORDARONE,150 MG / 3 ML,AMIODARONE (CHLORHYDRATE),BOITE DE 6 AMP,SOLUTION INJECTABLE,Commercialisé
CORDARONE,200 MG,AMIODARONE (CHLORHYDRATE),BOITE DE 40,COMPRIME,Commercialisé
CORINAL,50 µG / DOSE,FLUTICASONE,BOITE D'UN FLACON DE 100 DOSES,SUSPENSION POUR INHALATION NASALE,Non Commercialisé
CORNEREGEL,0.05,DEXPANTHENOL,TUBE DE 10 G,GEL OPHTALMIQUE,Commercialisé
COROLOR,60 MG,TICAGRELOR,BOITE DE 10,COMPRIMES PELLICULES,Non Commercialisé
COROLOR,60 MG,TICAGRELOR,BOITE DE 30,COMPRIMES PELLICULES,Non Commercialisé
COROLOR,60 MG,TICAGRELOR,BOITE DE 60,COMPRIMES PELLICULES,Non Commercialisé
COROLOR,90 MG,TICAGRELOR,BOITE DE 10,COMPRIMES PELLICULES,Non Commercialisé
COROLOR,90 MG,TICAGRELOR,BOITE DE 30,COMPRIMES PELLICULES,Commercialisé
COROLOR,90 MG,TICAGRELOR,BOITE DE 60,COMPRIMES PELLICULES,Commercialisé
CORONAT,25 MG,CARVEDILOL,BOITE DE 30,COMPRIME,Commercialisé
CORONAT,"6,25 MG",CARVEDILOL,BOITE DE 30,COMPRIME,Commercialisé
CORPRIL,"1,25 MG",RAMIPRIL,BOITE DE 30,GELULE,Commercialisé
CORPRIL,10 MG,RAMIPRIL,BOITE DE 30,GELULE,Non Commercialisé
CORPRIL,"2,5 MG",RAMIPRIL,BOITE DE 30,GELULE,Commercialisé
CORPRIL,5 MG,RAMIPRIL,BOITE DE 30,GELULE,Non Commercialisé
